player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,4,0,0,0,0,0,1,.293,.390,.655
T. Hernández,4,0,0,0,0,0,2,.291,.317,.543
F. Freeman,4,0,0,0,0,0,2,.365,.431,.624
W. Smith,4,0,0,0,0,0,0,.333,.444,.503
A. Pages,4,1,2,1,1,0,1,.279,.329,.481
T. Edman,3,1,1,1,1,0,1,.247,.287,.487
M. Muncy,3,1,2,1,1,0,0,.227,.346,.403
E. Hernández,3,0,1,0,0,0,2,.239,.302,.444
M. Rojas,2,0,0,0,0,0,0,.218,.244,.287
H. Kim,1,0,0,0,0,0,1,.413,.449,.587
