player,ip,h,r,er,bb,k,hr,pc_st,era
M. Meyer,5.0,10,5,4,1,5,2,77-54,4.73
J. Tinoco,1.0,0,0,0,0,0,0,9-8,5.12
V. Bellozo,3.0,2,1,1,0,4,0,46-31,2.90
