player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Buxton,2,0,0,0,0,0,1,.265,.310,.492
J. Bride,2,0,0,0,0,0,1,.236,.283,.273
T. Larnach,3,0,0,0,0,0,1,.260,.323,.420
R. Lewis,1,0,0,0,0,0,0,.139,.218,.215
R. Jeffers,3,0,1,0,0,1,0,.254,.345,.399
M. Wallner,3,2,1,1,1,1,2,.268,.388,.521
W. Castro,3,0,0,0,0,1,0,.255,.341,.441
T. France,4,1,1,1,0,0,0,.273,.335,.373
K. Clemens,3,0,1,0,0,1,0,.267,.375,.560
B. Lee,4,0,1,1,0,0,1,.243,.282,.343
H. Bader,2,0,0,0,0,1,1,.262,.356,.430
