player,ip,h,r,er,bb,k,hr,pc_st,era
S. Baz,5.2,4,1,1,3,4,1,82-50,4.94
G. Cleavinger,1.1,2,0,0,0,0,0,15-11,1.77
M. Rodriguez,1.0,0,0,0,0,0,0,9-6,2.22
P. Fairbanks,1.0,0,0,0,2,0,0,21-11,2.05
