player,ip,h,r,er,bb,k,hr,pc_st,era
L. Giolito,7.0,6,0,0,2,6,0,99-63,5.27
B. Bernardino,0.2,0,1,1,1,0,0,18-10,1.66
L. Guerrero,1.1,2,1,1,3,1,0,41-18,1.69
