player,ip,h,r,er,bb,k,hr,pc_st,era
B. Falter,5.2,4,3,2,3,1,0,84-55,3.47
I. Mattson,1.1,0,0,0,1,1,0,21-12,3.00
R. Borucki,0.2,3,3,3,1,0,0,31-20,4.43
C. Shugart,1.1,0,0,0,0,0,0,18-10,3.47
