player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
Tim Anderson,3,0,1,0,0,0,1,.205,.258,.241
Z. Neto,1,0,0,0,0,0,1,.284,.326,.537
N. Schanuel,3,0,0,0,0,1,2,.281,.380,.398
Y. Moncada,3,0,0,0,0,1,2,.232,.347,.463
T. Ward,4,0,0,0,0,0,2,.225,.271,.515
J. Soler,4,0,0,0,0,0,3,.222,.294,.394
T. d'Arnaud,2,0,1,0,0,1,1,.200,.263,.314
L. Rengifo,3,0,1,0,0,0,1,.220,.253,.280
J. Adell,3,0,0,0,0,0,0,.184,.250,.353
K. Paris,2,0,0,0,0,0,2,.190,.266,.381
L. O'Hoppe,1,0,0,0,0,0,0,.272,.304,.543
M. Lugo,0,0,0,0,0,0,0,.250,.270,.611
