player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Buxton,6,2,2,2,0,0,1,.264,.313,.515
T. Larnach,6,1,4,4,1,0,1,.255,.323,.422
R. Jeffers,5,1,1,0,0,0,0,.252,.345,.387
D. Keirsey Jr.,1,1,0,0,0,0,0,.109,.136,.156
C. Correa,4,1,1,2,1,1,1,.250,.290,.390
B. Lee,5,1,2,1,0,0,1,.236,.277,.347
T. France,5,1,2,0,0,0,1,.258,.321,.359
K. Clemens,5,0,0,0,0,0,1,.279,.362,.639
C. Vazquez,0,0,0,0,0,0,0,.217,.275,.313
R. Lewis,4,0,0,0,0,1,1,.130,.200,.203
H. Bader,0,1,0,0,0,0,0,.276,.359,.433
W. Castro,3,3,2,3,2,2,0,.238,.321,.402
