player,ip,h,r,er,bb,k,hr,pc_st,era
C. Povich,5.1,4,2,2,1,5,0,86-54,5.11
Y. Cano,0.2,0,0,0,0,1,0,6-4,4.58
S. Dominguez,1.0,0,0,0,0,2,0,13-9,4.84
G. Soto,1.0,0,0,0,1,3,0,22-12,4.35
F. Bautista,1.0,1,0,0,1,0,0,17-9,3.48
