player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
K. Carpenter,3,0,1,0,0,0,2,.279,.309,.500
J. Malloy,1,0,1,0,0,0,0,.202,.343,.286
G. Torres,2,0,0,0,0,0,0,.277,.358,.426
A. Ibanez,1,0,0,0,0,0,0,.243,.325,.371
A. Baddoo,1,0,0,0,0,0,1,.143,.200,.214
Z. McKinstry,4,0,0,0,0,0,1,.277,.357,.409
R. Greene,4,0,0,0,0,0,2,.281,.337,.521
S. Torkelson,3,0,0,0,0,1,1,.244,.355,.523
C. Keith,4,0,0,0,0,0,2,.218,.329,.355
D. Dingler,4,0,1,0,0,0,2,.297,.322,.457
T. Sweeney,2,0,0,0,0,1,1,.239,.303,.346
J. Baez,3,0,2,0,0,0,0,.292,.329,.472
