player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Kwan,4,1,3,0,0,1,0,.314,.375,.435
A. Martinez,4,0,0,0,0,1,1,.240,.263,.368
J. Ramirez,3,2,2,2,1,2,0,.333,.390,.558
K. Manzardo,4,0,0,0,0,0,2,.205,.294,.432
C. Santana,1,0,0,0,0,0,1,.255,.357,.387
D. Schneemann,4,0,0,0,0,1,2,.246,.331,.444
G. Arias,4,0,1,1,0,0,1,.236,.302,.355
B. Naylor,3,0,0,0,0,2,1,.171,.289,.363
N. Jones,1,0,0,0,0,1,1,.218,.297,.313
D. Fry,1,0,0,0,0,0,1,.273,.385,.545
J. Noel,2,0,0,0,0,0,1,.146,.168,.223
W. Wilson,4,0,0,0,0,0,4,.184,.273,.245
