player,ip,h,r,er,bb,k,hr,pc_st,era
Z. Gallen,5.2,3,4,4,4,4,0,100-55,5.25
J. Morillo,0.1,0,0,0,0,1,0,3-3,4.38
S. McGough,1.0,0,0,0,0,0,0,4-3,0.00
R. Thompson,1.0,1,0,0,0,0,0,8-5,7.11
