player,ip,h,r,er,bb,k,hr,pc_st,era
K. Harrison,4.0,5,2,2,0,4,1,57-43,3.86
T. Beck,3.0,2,1,1,0,2,0,38-26,3.00
T. Rogers,1.0,1,0,0,0,2,0,13-10,1.93
