player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
K. Marte,4,1,1,2,1,0,0,.298,.418,.618
G. Perdomo,4,1,1,1,1,0,1,.275,.371,.432
L. Gurriel Jr.,4,0,0,0,0,0,1,.249,.296,.436
E. Suarez,4,0,0,0,0,0,3,.228,.306,.496
R. Grichuk,3,0,1,0,0,0,1,.264,.326,.471
C. Carroll,1,0,0,0,0,0,0,.258,.337,.567
P. Smith,0,0,0,0,0,0,0,.283,.394,.461
G. Moreno,2,0,0,0,0,0,0,.278,.335,.414
J. Herrera,1,0,0,0,0,1,0,.194,.315,.290
I. Vargas,4,0,0,0,0,0,3,.100,.100,.100
T. Tawa,4,1,3,0,0,0,1,.237,.302,.447
A. Thomas,3,0,0,0,0,0,2,.255,.298,.369
