player,ip,h,r,er,bb,k,hr,pc_st,era
E. Hancock,5.2,2,1,1,2,6,1,89-58,5.19
G. Speier,1.0,0,1,1,1,3,0,19-11,2.31
C. Vargas,0.1,1,1,1,1,0,0,13-6,3.07
M. Brash,1.0,0,0,0,0,0,0,15-11,0.00
C. Legumina,1.0,1,0,0,1,0,0,12-8,4.35
