player,ip,h,r,er,bb,k,hr,pc_st,era
C. Mize,3.1,8,3,3,2,4,1,79-49,2.82
B. Hurter,1.2,0,0,0,2,2,0,26-17,1.84
B. Hanifee,1.0,2,1,1,1,0,0,20-11,3.25
B. Brieske,1.0,0,0,0,0,2,0,12-8,4.74
T. Kahnle,1.0,0,0,0,0,1,0,13-9,1.46
W. Vest,1.0,2,1,1,0,1,0,23-16,2.00
