player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Chourio,5,3,4,5,1,0,0,.255,.282,.442
I. Collins,1,0,0,0,0,0,0,.230,.325,.310
E. Haase,1,0,1,0,0,0,0,.243,.300,.432
W. Contreras,4,2,3,1,0,1,0,.253,.366,.364
C. Yelich,6,1,4,1,0,0,1,.233,.314,.423
R. Hoskins,6,2,2,6,2,0,2,.276,.374,.475
D. Cameron,6,2,3,0,0,0,1,.185,.214,.222
S. Frelick,6,1,2,1,0,0,1,.298,.362,.404
C. Durbin,5,2,2,0,0,0,0,.220,.303,.315
J. Ortiz,3,2,1,1,0,1,1,.179,.246,.240
A. Monasterio,1,0,0,0,0,0,0,.133,.350,.200
B. Turang,4,2,1,1,0,1,1,.269,.349,.354
