player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
O. Cruz,3,2,1,1,0,2,0,.223,.357,.426
A. McCutchen,2,1,1,0,0,3,0,.246,.357,.359
B. Reynolds,3,0,2,1,0,1,1,.210,.280,.338
J. Bart,5,0,1,0,0,0,2,.259,.367,.333
S. Horwitz,5,1,2,2,1,0,1,.278,.350,.444
K. Hayes,5,0,1,0,0,0,0,.246,.301,.307
A. Frazier,3,0,0,0,0,1,0,.223,.292,.302
T. Pham,4,0,0,0,0,0,2,.187,.263,.220
I. Kiner-Falefa,4,1,1,0,0,0,0,.282,.338,.359
