player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
K. Marte,4,1,2,0,0,0,1,.278,.391,.588
G. Perdomo,4,1,3,0,0,1,0,.309,.404,.483
L. Gurriel Jr.,4,0,2,1,0,0,0,.235,.275,.433
E. Suarez,5,1,1,0,0,0,2,.219,.304,.492
J. Naylor,4,1,1,2,0,0,0,.289,.352,.438
G. Moreno,4,0,0,0,0,0,0,.263,.329,.398
R. Grichuk,4,1,2,2,1,0,1,.250,.289,.458
C. Carroll,0,0,0,0,0,0,0,.271,.345,.579
T. Tawa,4,0,0,0,0,0,3,.234,.308,.436
A. Thomas,0,0,0,0,0,0,0,.266,.317,.375
J. Lawlar,3,0,0,0,0,0,0,.000,.071,.000
P. Smith,1,0,1,0,0,0,0,.292,.406,.477
