player,ip,h,r,er,bb,k,hr,pc_st,era
L. Knack,6.0,5,1,1,3,6,1,102-63,4.58
A. Banda,1.0,0,0,0,1,2,0,19-11,3.86
C. Stratton,1.0,1,1,1,0,1,1,18-13,8.00
E. Hernández,1.0,1,0,0,0,0,0,7-5,0.00
