player,ip,h,r,er,bb,k,hr,pc_st,era
C. Povich,5.0,4,1,1,3,6,0,98-58,4.86
S. Dominguez,0.1,2,3,3,1,0,0,19-11,6.06
G. Soto,0.2,2,2,2,0,1,1,21-12,4.67
C. Perez,1.0,4,5,5,2,0,1,34-19,8.31
E. Rivera,1.0,8,8,8,2,0,1,45-28,72.00
