player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Tatis Jr.,4,0,0,0,0,1,3,.290,.361,.530
L. Arraez,5,0,2,1,0,0,1,.304,.339,.439
M. Machado,5,1,0,0,0,0,1,.305,.374,.441
J. Merrill,4,2,2,0,0,1,0,.352,.388,.549
G. Sheets,5,2,3,5,2,0,0,.286,.333,.497
J. Cronenworth,3,0,0,0,0,2,1,.240,.383,.440
E. Diaz,5,0,0,0,0,0,2,.230,.300,.350
J. Iglesias,4,1,1,0,0,0,1,.240,.290,.280
B. Lockridge,2,0,0,0,0,0,2,.211,.262,.281
J. Heyward,1,0,0,0,0,0,0,.176,.223,.271
X. Bogaerts,1,0,0,0,0,0,0,.241,.328,.352
T. Wade,0,0,0,0,0,0,0,.263,.364,.316
