player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
A. Verdugo,5,1,0,0,0,0,1,.297,.357,.406
A. Riley,4,0,1,0,0,1,2,.290,.335,.497
M. Ozuna,5,0,1,1,0,0,1,.275,.433,.450
M. Olson,4,0,1,0,0,0,2,.226,.368,.411
O. Albies,3,0,1,0,0,1,1,.245,.305,.381
S. Murphy,3,0,2,0,0,1,1,.224,.322,.526
S. Fairchild,0,1,0,0,0,0,0,.050,.050,.150
O. Arcia,0,0,0,0,0,0,0,.200,.226,.233
E. White,4,0,1,0,0,0,2,.302,.343,.556
M. Harris,4,0,1,1,0,0,2,.215,.232,.333
N. Allen,2,0,0,0,0,1,0,.264,.319,.310
D. Baldwin,1,0,0,0,0,0,0,.250,.323,.393
