player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Stott,4,0,0,0,0,0,0,.249,.316,.354
T. Turner,4,0,0,0,0,0,2,.300,.357,.444
B. Harper,4,0,0,0,0,0,2,.263,.373,.455
K. Schwarber,4,0,1,0,0,0,2,.260,.389,.565
A. Bohm,4,0,1,0,0,0,0,.276,.310,.386
N. Castellanos,4,1,1,1,1,0,0,.276,.320,.414
M. Kepler,2,0,0,0,0,1,1,.219,.308,.383
J.T. Realmuto,3,0,1,0,0,0,1,.226,.297,.358
R. Marchan,0,0,0,0,0,0,0,.143,.302,.229
B. Marsh,1,0,1,0,0,1,0,.219,.320,.324
W. Wilson,1,0,0,0,0,0,0,.172,.294,.276
J. Rojas,0,0,0,0,0,0,0,.250,.306,.340
