player,ip,h,r,er,bb,k,hr,pc_st,era
C. Holmes,5.2,4,1,1,3,3,0,102-62,2.98
J. Butto,0.2,0,0,0,1,0,0,14-6,3.29
H. Brazoban,1.1,0,0,0,1,1,0,21-12,1.11
J. Castillo,0.1,0,0,0,1,1,0,14-10,7.71
E. Diaz,1.0,0,0,0,1,1,0,11-5,2.42
