player,ip,h,r,er,bb,k,hr,pc_st,era
Y. Kikuchi,5.0,4,1,1,5,4,0,93-51,3.06
R. Stephenson,1.0,0,0,0,0,2,0,12-9,0.00
R. Zeferjahn,1.0,1,0,0,0,2,0,16-13,4.26
R. Detmers,1.0,1,0,0,0,3,0,21-13,6.85
B. Burke,1.0,1,0,0,0,2,0,19-14,5.23
