player,ip,h,r,er,bb,k,hr,pc_st,era
Z. Wheeler,6.0,3,1,1,1,7,1,103-70,2.85
T. Banks,1.0,0,0,0,0,0,0,13-9,3.72
M. Strahm,1.0,1,1,1,1,0,1,22-13,3.62
O. Kerkering,1.0,0,0,0,1,1,0,23-14,2.73
J. Romano,1.0,0,0,0,0,0,0,7-5,7.40
C. Hernandez,1.0,1,1,0,0,1,0,13-10,5.63
