player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Rice,5,2,2,1,0,1,0,.233,.327,.473
A. Judge,4,2,3,3,1,1,0,.363,.470,.735
C. Bellinger,5,0,1,1,0,0,1,.267,.326,.457
G. Stanton,4,1,1,3,1,1,1,.244,.346,.333
A. Wells,0,0,0,0,0,0,0,.214,.275,.424
J. Chisholm Jr.,4,0,1,0,0,1,2,.240,.339,.490
P. Goldschmidt,5,0,2,0,0,0,1,.286,.347,.431
O. Peraza,0,0,0,0,0,0,0,.157,.233,.273
J. Dominguez,5,1,2,0,0,0,2,.256,.337,.387
A. Volpe,5,1,1,0,0,0,0,.224,.304,.403
D. LeMahieu,2,2,1,1,0,1,0,.254,.333,.331
T. Grisham,2,0,1,0,0,0,0,.248,.349,.467
