player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Bichette,5,0,1,1,0,0,1,.269,.314,.423
V. Guerrero Jr.,5,0,2,0,0,0,0,.275,.380,.421
A. Barger,5,2,1,0,0,0,3,.260,.321,.486
A. Kirk,5,1,4,2,1,0,0,.316,.361,.421
A. Roden,0,0,0,0,0,0,0,.173,.250,.259
T. Heineman,0,0,0,0,0,0,0,.429,.441,.625
G. Springer,3,0,1,1,0,1,0,.253,.367,.490
A. Gimenez,4,0,1,0,0,0,1,.207,.284,.310
D. Schneider,2,0,0,0,0,1,0,.192,.400,.308
N. Lukes,1,0,0,0,0,1,0,.267,.360,.392
E. Clement,5,1,1,0,0,0,0,.273,.311,.384
J. Clase,4,1,2,1,1,0,0,.226,.294,.323
