player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Triolo,2,0,0,0,0,1,0,.225,.321,.348
C. Devanney,1,0,1,1,0,0,0,.167,.211,.222
S. Horwitz,3,0,1,0,0,1,0,.258,.333,.389
B. Reynolds,3,0,1,0,0,0,1,.248,.316,.411
N. Yorke,1,0,0,0,0,0,1,.154,.154,.231
N. Gonzales,3,0,0,0,0,0,0,.276,.318,.381
A. Canario,1,0,0,0,0,0,0,.209,.269,.325
A. McCutchen,3,1,1,0,0,0,1,.244,.339,.386
H. Davis,1,0,0,0,0,0,1,.166,.243,.281
O. Cruz,4,0,0,0,0,0,4,.201,.302,.384
J. Bart,4,0,0,0,0,0,2,.243,.347,.317
L. Peguero,3,0,1,1,0,0,1,.197,.265,.368
J. Bae,2,1,0,0,0,1,1,.077,.200,.077
