player,ip,h,r,er,bb,k,hr,pc_st,era
N. Crismatt,6.1,7,2,2,1,3,0,82-54,2.14
J. Beeks,0.2,0,0,0,2,0,0,22-10,3.81
T. Rashi,2.0,3,1,1,0,2,0,41-24,1.80
