player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Tatis Jr.,4,1,1,0,0,1,1,.261,.351,.445
J. Merrill,5,1,0,0,0,0,2,.283,.345,.429
M. Machado,3,1,2,1,1,2,0,.292,.357,.482
L. Arraez,4,0,2,1,0,1,1,.282,.316,.394
G. Sheets,4,0,2,0,0,1,0,.264,.324,.455
X. Bogaerts,4,0,0,0,0,0,2,.255,.329,.364
B. Johnson,1,0,0,0,0,0,1,.313,.389,.375
J. Cronenworth,5,0,1,1,0,0,1,.231,.345,.392
T. Brooks,4,0,2,0,0,0,1,.182,.217,.409
T. Wade,0,0,0,0,0,0,0,.212,.317,.260
M. Maldonado,3,0,0,0,0,0,1,.172,.213,.302
J. Iglesias,1,0,0,0,0,0,0,.226,.291,.256
E. Diaz,0,0,0,0,0,0,0,.209,.284,.314
