player,ip,h,r,er,bb,k,hr,pc_st,era
C. Early,5.0,5,0,0,1,11,0,90-61,0.00
G. Weissert,1.0,1,0,0,0,0,0,6-6,2.98
J. Slaten,1.0,2,0,0,0,1,0,18-13,4.45
S. Matz,1.0,1,0,0,0,0,0,11-7,3.04
C. Murphy,1.0,1,0,0,1,1,0,24-15,2.81
