player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Langeliers,6,1,3,2,0,1,1,.264,.313,.533
B. Rooker,7,1,1,1,0,0,1,.268,.340,.492
N. Kurtz,3,3,1,1,1,2,2,.305,.402,.635
B. Harris,1,0,1,0,0,0,0,.244,.319,.293
C. Thomas,5,4,2,3,1,1,1,.235,.287,.459
J. Wilson,4,1,3,0,0,0,1,.318,.360,.451
M. Schuemann,2,1,1,0,0,0,0,.204,.305,.290
T. Soderstrom,3,0,2,4,0,0,0,.273,.345,.469
C. Cortes,2,2,2,3,1,0,0,.317,.333,.492
D. Hernaiz,5,1,1,0,0,1,0,.248,.324,.350
Z. Gelof,6,2,2,0,0,0,2,.188,.219,.319
L. Butler,3,0,0,0,0,1,0,.235,.308,.411
J. Bleday,2,1,2,3,1,0,0,.221,.308,.428
