player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,4,1,2,1,1,2,2,.284,.388,.620
M. Betts,5,0,2,0,0,1,1,.240,.310,.369
W. Smith,3,0,0,0,0,2,1,.310,.414,.518
F. Freeman,3,1,1,3,1,2,0,.305,.378,.491
T. Hernández,4,0,2,0,0,0,2,.254,.289,.464
J. Dean,0,0,0,0,0,0,0,.000,.000,.000
M. Conforto,1,0,0,0,0,0,0,.190,.302,.333
A. Pages,3,0,1,0,0,2,1,.278,.320,.463
M. Muncy,3,0,1,0,0,2,0,.261,.391,.489
M. Rojas,3,1,1,0,0,0,1,.240,.300,.394
A. Freeland,0,1,0,0,0,1,0,.222,.344,.222
A. Call,3,0,0,0,0,1,2,.182,.308,.273
