player,ip,h,r,er,bb,k,hr,pc_st,era
M. Boyd,7.0,5,2,2,1,5,0,88-60,2.65
B. Keller,1.0,0,0,0,1,1,0,14-7,1.86
D. Palencia,1.0,0,0,0,0,2,0,10-8,1.80
