player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Busch,5,2,2,1,0,0,1,.263,.343,.495
K. Tucker,5,2,3,5,2,0,0,.262,.373,.465
S. Suzuki,5,0,1,0,0,0,2,.243,.317,.480
P. Crow-Armstrong,4,0,1,0,0,0,0,.256,.296,.512
M. Shaw,1,0,0,0,0,0,0,.226,.294,.404
I. Happ,2,1,0,0,0,1,0,.227,.328,.382
O. Caissie,2,1,1,0,0,0,0,.263,.300,.474
N. Hoerner,3,2,1,0,0,1,0,.289,.339,.369
J. Turner,1,0,1,0,0,0,0,.218,.286,.324
W. Castro,5,1,2,0,0,0,1,.188,.204,.292
D. Swanson,4,1,1,1,0,0,1,.248,.298,.408
R. McGuire,2,2,1,5,1,1,1,.223,.250,.457
