player,ip,h,r,er,bb,k,hr,pc_st,era
J. Boyle,3.1,4,6,6,5,5,3,88-50,3.82
M. Montgomery,1.2,1,0,0,0,3,0,27-19,4.95
M. Englert,1.0,1,1,1,1,0,0,34-24,4.01
I. Seymour,2.0,1,0,0,2,2,0,37-25,1.06
