player,ip,h,r,er,bb,k,hr,pc_st,era
S. Strider,3.0,10,7,7,1,2,2,68-41,5.24
A. Cox,3.0,4,3,3,1,3,1,58-36,6.23
D. Hernandez,1.1,4,3,2,2,0,1,45-31,2.72
L. Williams,0.2,0,0,0,1,1,0,11-5,3.00
T. Kinley,1.0,1,0,0,0,2,0,13-10,5.07
