player,ip,h,r,er,bb,k,hr,pc_st,era
K. Senga,4.0,6,3,3,3,4,0,93-58,2.73
J. Castillo,1.0,0,0,0,0,0,0,3-3,5.03
T. Rogers,1.0,0,0,0,0,0,0,14-12,1.85
B. Raley,1.0,0,0,0,0,1,0,11-6,2.03
R. Helsley,1.0,0,0,0,0,1,0,15-9,4.06
R. Stanek,1.0,0,0,0,1,0,0,19-11,5.52
