player,ip,h,r,er,bb,k,hr,pc_st,era
J. Luzardo,6.0,5,2,2,4,8,0,100-62,4.01
D. Robertson,1.0,1,0,0,0,0,0,13-9,2.53
M. Strahm,1.0,0,0,0,0,2,0,16-11,2.83
J. Duran,1.0,0,0,0,0,1,0,10-7,1.89
