player,ip,h,r,er,bb,k,hr,pc_st,era
L. Morales,4.2,7,5,5,1,2,2,84-54,2.73
B. Basso,2.1,1,0,0,0,4,0,30-18,0.00
S. McGough,2.0,4,2,2,0,2,0,39-28,7.50
