player,ip,h,r,er,bb,k,hr,pc_st,era
J. deGrom,5.0,3,2,2,2,7,1,90-56,2.79
L. Curvelo,1.0,1,1,1,1,1,0,21-12,5.40
R. Garcia,1.0,1,0,0,0,2,0,10-9,3.40
J. Webb,2.0,2,1,1,1,2,1,28-18,3.78
