player,ip,h,r,er,bb,k,hr,pc_st,era
S. Strider,6.0,7,3,3,1,6,2,100-68,3.93
D. Lee,1.2,0,0,0,0,1,0,25-18,2.27
P. Johnson,1.1,0,0,0,0,1,0,16-12,2.93
