player,ip,h,r,er,bb,k,hr,pc_st,era
C. Quantrill,4.0,3,1,1,0,1,1,47-30,5.09
T. Phillips,1.2,2,2,2,3,3,0,51-27,3.39
T. Zuber,0.2,4,4,4,0,1,2,27-18,14.73
L. Bachar,0.2,0,0,0,0,1,0,10-7,3.18
C. Faucher,1.0,0,0,0,0,1,0,11-7,3.40
