player,ip,h,r,er,bb,k,hr,pc_st,era
L. Evans,5.2,3,0,0,1,3,0,95-56,2.96
C. Legumina,0.2,0,2,2,3,0,0,24-12,3.78
C. Vargas,0.2,2,1,1,1,0,0,16-9,3.16
E. Bazardo,1.0,0,0,0,0,2,0,11-9,2.78
T. Thornton,1.0,0,0,0,0,0,0,9-7,5.34
