player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Tauchman,3,0,0,0,0,1,1,.276,.367,.449
J. Rojas,1,0,0,0,0,0,1,.173,.248,.254
L. Sosa,2,0,0,0,0,0,0,.276,.306,.438
C. Julks,3,2,2,0,0,0,1,.333,.333,.667
A. Benintendi,5,0,1,0,0,0,1,.226,.292,.416
L. Robert Jr.,2,0,0,0,0,0,1,.225,.307,.366
J. Amaya,2,1,1,1,0,1,0,.109,.143,.125
C. Montgomery,4,1,1,0,0,1,0,.238,.300,.525
C. Mead,4,0,1,2,0,0,2,.308,.357,.308
K. Teel,3,0,1,1,0,1,1,.257,.356,.372
M. Taylor,3,0,1,0,0,1,1,.217,.280,.406
B. Baldwin,4,1,1,1,1,0,2,.237,.283,.395
