player,ip,h,r,er,bb,k,hr,pc_st,era
S. Woods Richardson,3.2,5,5,5,2,2,3,69-44,4.59
T. Hatch,1.1,1,1,1,1,1,0,26-13,3.86
K. Funderburk,1.0,2,0,0,0,2,0,18-12,4.55
C. Sands,1.0,1,0,0,0,3,0,17-13,4.03
G. Cabrera,0.1,2,2,2,0,0,1,11-10,6.55
M. Tonkin,0.2,1,1,1,1,1,0,15-7,3.86
