player,ip,h,r,er,bb,k,hr,pc_st,era
S. Imanaga,6.0,5,3,3,1,2,2,78-49,3.15
D. Pomeranz,1.0,1,0,0,0,1,0,19-14,2.04
C. Thielbar,1.0,0,0,0,0,1,0,11-9,1.99
D. Palencia,1.0,2,0,0,0,1,0,20-13,2.16
