player,ip,h,r,er,bb,k,hr,pc_st,era
C. Cavalli,5.0,7,4,4,3,3,1,88-50,3.86
J. Rutledge,1.0,2,2,2,1,0,1,20-11,6.41
C. Beeter,1.0,0,0,0,0,2,0,16-8,8.22
O. Ribalta,0.1,1,1,1,1,0,0,15-9,6.35
S. Ogasawara,0.2,0,0,0,1,1,0,13-7,6.43
