player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Donovan,5,1,1,0,0,0,0,.295,.365,.432
M. Winn,5,0,0,0,0,0,0,.259,.319,.385
A. Burleson,4,2,2,1,0,1,0,.292,.336,.468
W. Contreras,5,0,2,1,0,0,1,.256,.344,.430
L. Nootbaar,3,1,0,0,0,1,1,.228,.333,.383
N. Arenado,3,0,1,0,0,0,0,.246,.305,.388
T. Saggese,1,0,0,0,0,0,0,.241,.256,.342
N. Gorman,3,1,1,0,0,1,1,.214,.306,.391
P. Pages,2,0,1,2,0,0,0,.212,.259,.338
J. Fermin,1,0,0,0,0,0,0,.462,.500,.615
Y. Pozo,0,0,0,0,0,0,0,.303,.323,.461
V. Scott,3,0,2,1,0,1,0,.236,.318,.324
