player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
A. Martin,5,0,3,0,0,0,0,.600,.600,.600
A. Roden,5,0,0,0,0,0,2,.000,.000,.000
K. Funderburk,0,0,0,0,0,0,0,.000,.000,.000
R. Jeffers,4,0,1,0,0,0,2,.255,.345,.395
K. Clemens,4,0,0,0,0,0,1,.220,.296,.492
R. Lewis,4,0,1,0,0,0,2,.243,.299,.378
M. Wallner,3,0,0,0,0,1,1,.207,.308,.455
B. Lee,3,1,1,0,0,1,1,.253,.293,.381
C. Vazquez,3,1,0,0,0,0,1,.181,.257,.257
D. Keirsey Jr.,0,0,0,0,0,0,0,.115,.148,.192
E. Julien,2,0,0,0,0,0,2,.194,.283,.312
M. Gasper,2,0,0,0,0,0,2,.184,.311,.211
