player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Turner,4,1,1,1,1,0,1,.305,.356,.458
E. Sosa,0,0,0,0,0,0,0,.273,.309,.426
H. Bader,1,0,0,0,0,0,0,.302,.376,.490
K. Schwarber,4,1,1,1,0,1,0,.242,.366,.563
B. Harper,5,0,1,0,0,0,1,.264,.354,.495
A. Bohm,4,0,0,0,0,0,1,.272,.319,.384
B. Marsh,3,1,3,1,0,1,0,.282,.345,.433
N. Castellanos,4,0,1,1,0,0,2,.252,.296,.406
M. Kepler,3,1,0,0,0,1,1,.215,.301,.382
R. Marchan,3,0,0,0,0,0,1,.178,.267,.244
J.T. Realmuto,0,0,0,0,0,1,0,.266,.325,.400
B. Stott,3,0,0,0,0,1,0,.249,.322,.378
