player,ip,h,r,er,bb,k,hr,pc_st,era
R. Suarez,5.0,10,1,1,1,2,0,92-58,3.02
D. Robertson,1.0,0,0,0,0,1,0,9-6,1.23
M. Strahm,1.0,1,0,0,1,0,0,12-7,3.04
O. Kerkering,1.0,1,0,0,0,1,0,20-15,2.98
J. Duran,1.0,0,0,0,0,2,0,12-7,2.02
