player,ip,h,r,er,bb,k,hr,pc_st,era
B. Young,5.1,5,2,2,0,6,1,66-47,6.14
G. Soto,0.2,0,0,0,1,0,0,4-2,3.90
S. Dominguez,1.0,0,0,0,1,2,0,17-10,3.22
B. Baker,0.0,4,4,4,0,0,2,15-11,3.52
A. Kittredge,1.0,0,0,0,0,1,0,11-9,3.74
F. Bautista,1.0,0,0,0,1,3,0,19-9,2.48
Y. Cano,1.0,2,1,0,1,1,0,21-13,4.11
