player,ip,h,r,er,bb,k,hr,pc_st,era
D. Rasmussen,2.0,3,1,1,0,2,1,32-24,2.82
J. Boyle,5.0,2,1,0,1,7,0,95-59,0.00
M. Montgomery,0.1,1,2,2,2,1,1,23-11,5.74
P. Fairbanks,1.2,1,0,0,0,1,0,18-16,2.34
E. Orze,1.0,0,1,0,1,0,0,13-8,2.79
