player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Profar,4,0,0,0,0,1,2,.263,.368,.482
M. Olson,4,0,0,1,0,0,1,.269,.365,.456
R. Acuna Jr.,4,0,0,0,0,0,1,.289,.414,.518
O. Albies,3,0,0,0,0,1,1,.234,.303,.350
M. Harris,4,0,2,0,0,0,1,.251,.272,.413
E. White,1,0,0,0,0,1,0,.233,.272,.381
J. Fraley,2,1,2,0,0,0,0,.556,.556,.667
N. Alvarez Jr.,3,0,0,0,0,0,1,.231,.308,.299
S. Murphy,2,0,0,0,0,0,1,.204,.306,.419
V. Brujan,2,1,1,0,0,0,1,.233,.343,.267
N. Allen,2,0,0,0,0,0,1,.221,.285,.249
D. Baldwin,1,1,1,2,1,1,0,.280,.351,.462
