player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Turner,4,0,1,0,0,0,0,.299,.354,.443
K. Schwarber,2,1,0,0,0,3,1,.250,.381,.546
A. Bohm,5,0,2,0,0,0,1,.272,.309,.378
N. Castellanos,5,1,3,0,0,0,0,.288,.328,.428
J.T. Realmuto,5,1,2,2,0,0,0,.228,.294,.356
E. Sosa,3,0,1,0,0,0,0,.277,.324,.362
B. Stott,2,0,1,0,0,0,0,.241,.305,.339
O. Kemp,5,1,3,0,0,0,0,.300,.364,.300
W. Wilson,2,0,1,1,0,0,0,.171,.293,.257
B. Marsh,3,0,2,1,0,0,0,.228,.331,.325
J. Rojas,1,0,0,0,0,0,0,.243,.297,.327
M. Kepler,1,0,0,0,0,0,0,.207,.294,.363
