player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Frelick,4,1,0,0,0,0,1,.290,.348,.403
W. Contreras,5,0,0,0,0,0,0,.239,.350,.340
J. Chourio,5,0,1,1,0,0,3,.260,.294,.452
C. Yelich,4,0,2,0,0,0,0,.260,.335,.455
I. Collins,3,1,1,0,0,1,1,.270,.370,.405
B. Turang,4,0,1,0,0,0,1,.280,.351,.366
C. Durbin,3,0,2,0,0,1,1,.256,.341,.357
J. Bauers,2,1,0,0,0,1,0,.208,.329,.375
A. Vaughn,1,0,1,1,0,0,0,.500,.625,1.000
J. Ortiz,2,0,0,0,0,0,2,.205,.265,.300
A. Seigler,1,0,0,0,0,0,0,.111,.111,.111
A. Monasterio,1,0,0,0,0,0,1,.195,.283,.317
