player,ip,h,r,er,bb,k,hr,pc_st,era
J. Verlander,4.1,7,7,7,1,4,0,91-63,4.64
M. Gage,0.2,2,1,1,0,1,0,17-11,0.86
J. Peguero,2.0,2,0,0,1,1,0,32-22,0.00
S. Bivens,1.0,0,0,0,0,1,0,10-7,4.45
