player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
K. Marte,5,1,1,1,1,0,1,.290,.390,.527
G. Perdomo,4,1,1,1,1,0,0,.285,.385,.448
C. Carroll,4,1,1,0,0,0,0,.258,.332,.556
L. Gurriel Jr.,2,0,0,0,0,0,0,.248,.295,.418
J. Barrosa,2,0,0,0,0,0,1,.105,.125,.184
B. Alexander,4,1,1,1,0,0,3,.237,.331,.449
G. Moreno,4,0,2,1,0,0,0,.282,.329,.442
I. Vargas,4,0,0,0,0,0,1,.232,.246,.411
T. Locklear,2,1,1,1,1,1,0,.163,.258,.267
A. Del Castillo,1,0,0,0,0,0,1,.256,.286,.384
J. Lawlar,3,0,0,0,0,0,2,.000,.091,.000
A. Thomas,1,0,0,0,0,0,1,.249,.289,.371
