player,ip,h,r,er,bb,k,hr,pc_st,era
K. Hendricks,7.0,4,0,0,1,6,0,80-58,4.58
A. Chafin,1.0,0,0,0,0,2,0,16-10,2.48
B. Burke,1.0,2,2,2,0,1,1,28-17,3.28
