player,ip,h,r,er,bb,k,hr,pc_st,era
E. Hancock,7.0,2,0,0,1,4,0,85-56,4.48
C. Legumina,1.0,1,0,0,0,1,0,17-11,4.21
E. Bazardo,1.0,1,0,0,0,1,0,11-8,3.41
