player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Grisham,5,2,2,3,1,0,1,.247,.355,.485
B. Rice,4,1,1,0,0,0,1,.245,.336,.480
P. Goldschmidt,1,0,1,0,0,0,0,.279,.331,.420
A. Judge,2,0,0,0,0,3,0,.322,.442,.663
C. Bellinger,5,0,1,1,0,0,1,.278,.331,.502
G. Stanton,3,0,0,0,0,1,1,.283,.362,.609
J. Dominguez,1,1,0,0,0,0,0,.253,.325,.387
J. Chisholm Jr.,2,0,0,0,0,0,1,.242,.339,.499
J. Caballero,2,0,0,1,0,1,1,.256,.375,.462
A. Wells,2,2,0,0,0,2,1,.215,.274,.445
A. Volpe,4,0,1,0,0,0,1,.208,.271,.397
R. McMahon,4,2,3,3,1,0,0,.243,.341,.393
